time,current
0,0
0.0058594,-9.4599e-08
0.069336,-4.9815e-08
0.13281,-4.7283e-08
0.19043,-4.7178e-08
0.24707,-4.8178e-08
0.30273,-4.96e-08
0.36621,-5.1021e-08
0.42383,-5.259e-08
0.48047,-5.4428e-08
0.54395,-5.6185e-08
0.60156,-5.837e-08
0.68164,-6.0687e-08
0.74414,-6.2571e-08
0.80176,-6.4616e-08
0.86523,-6.6507e-08
0.92188,-6.8614e-08
0.98633,-7.0489e-08
1.042,-7.2623e-08
1.1045,-7.4709e-08
1.1689,-7.6641e-08
1.2256,-7.8649e-08
1.2891,-8.0892e-08
1.3633,-8.3198e-08
1.4258,-8.537e-08
1.4902,-8.7331e-08
1.5537,-8.929e-08
1.6104,-9.1143e-08
1.6748,-9.3183e-08
1.7383,-9.5197e-08
1.8008,-9.7084e-08
1.8584,-9.8644e-08
1.9141,-1.0054e-07
1.9707,-1.0241e-07
2.0459,-1.0442e-07
2.1094,-1.0629e-07
2.1729,-1.0799e-07
2.2295,-1.0972e-07
2.2861,-1.1136e-07
2.3438,-1.1312e-07
2.4004,-1.1477e-07
2.4639,-1.162e-07
2.5215,-1.1776e-07
2.5781,-1.1949e-07
2.6348,-1.2082e-07
2.7031,-1.2284e-07
2.7666,-1.2452e-07
2.8301,-1.2626e-07
2.8945,-1.2779e-07
2.958,-1.2909e-07
3.0146,-1.3062e-07
3.0791,-1.3204e-07
3.1357,-1.3343e-07
3.1924,-1.3497e-07
3.2549,-1.3629e-07
3.3193,-1.3778e-07
3.3945,-1.3957e-07
3.457,-1.4081e-07
3.5195,-1.4229e-07
3.584,-1.435e-07
3.6475,-1.448e-07
3.7109,-1.4589e-07
3.7676,-1.4729e-07
3.832,-1.4872e-07
3.8877,-1.4975e-07
3.9502,-1.5085e-07
4.0146,-1.521e-07
4.083,-1.5336e-07
4.1465,-1.5455e-07
4.2031,-1.5543e-07
4.2598,-1.5666e-07
4.3242,-1.5789e-07
4.3877,-1.5883e-07
4.4512,-1.599e-07
4.5146,-1.6098e-07
4.5791,-1.6191e-07
4.6348,-1.6292e-07
4.6914,-1.638e-07
4.7598,-1.6486e-07
4.8223,-1.6602e-07
4.8848,-1.6685e-07
4.9492,-1.6776e-07
5.0127,-1.6861e-07
5.0703,-1.6933e-07
5.1338,-1.7036e-07
5.1895,-1.7113e-07
5.2461,-1.7198e-07
5.3105,-1.7275e-07
5.374,-1.7352e-07
5.4492,-1.7463e-07
5.5127,-1.7554e-07
5.5762,-1.763e-07
5.6396,-1.7706e-07
5.7041,-1.7779e-07
5.7607,-1.7844e-07
5.8174,-1.7927e-07
5.8809,-1.7995e-07
5.9443,-1.8063e-07
6.0078,-1.8122e-07
6.0645,-1.8201e-07
6.1416,-1.8267e-07
6.2051,-1.8343e-07
6.2617,-1.8412e-07
6.3184,-1.846e-07
6.3818,-1.8548e-07
6.4453,-1.8584e-07
