mouse_id,group,block,trial_start,trial_stop,baseline_corrected_preparatory_lick_hz
1,control,1,1,100,0.06031022458202642
1,control,2,101,200,0.33282241693523246
1,control,3,201,300,0.8069874247862754
1,control,4,301,400,1.586003592213965
1,control,5,401,500,1.3282127857522574
1,control,6,501,600,1.9839509714517771
1,control,7,601,700,2.09540518549853
1,control,8,701,800,1.8118679810501634
2,control,1,1,100,0.16720406775544688
2,control,2,101,200,0.9173069391719764
2,control,3,201,300,1.114436997993107
2,control,4,301,400,1.3437604813612416
2,control,5,401,500,2.4898659807904187
2,control,6,501,600,3.0615413604094646
2,control,7,601,700,3.3181641692086123
2,control,8,701,800,3.638734532394446
4,control,1,1,100,0.3564194160111947
4,control,2,101,200,0.28194027991965415
4,control,3,201,300,0.4552885660529137
4,control,4,301,400,0.8071737770276377
4,control,5,401,500,1.636684437625703
4,control,6,501,600,1.0728471873100551
4,control,7,601,700,1.1654166305315448
4,control,8,701,800,1.6620913611620198
6,control,1,1,100,-0.053692043358605585
6,control,2,101,200,-0.03251600221803528
6,control,3,201,300,0.14285193867603085
6,control,4,301,400,0.21105570576590252
6,control,5,401,500,0.12584943833207946
6,control,6,501,600,0.0570788749269559
6,control,7,601,700,0.26435087004007074
6,control,8,701,800,0.4563650407927344
9,control,1,1,100,-0.309543803510569
9,control,2,101,200,0.056590381063142556
9,control,3,201,300,0.23415398318174993
9,control,4,301,400,-0.10574276097246244
9,control,5,401,500,-0.09184234580723569
9,control,6,501,600,0.039765001632040366
9,control,7,601,700,-0.017866271142847837
9,control,8,701,800,0.0461927545722574
11,control,1,1,100,0.21841090038898983
11,control,2,101,200,-0.09521717849798733
11,control,3,201,300,0.2912082546344027
11,control,4,301,400,0.8014352818811312
11,control,5,401,500,0.9157030065741856
11,control,6,501,600,1.548503788758535
11,control,7,601,700,1.5855758572858758
11,control,8,701,800,1.5752541863037186
15,control,1,1,100,0.09213999233921641
15,control,2,101,200,0.08963897189096315
15,control,3,201,300,0.35350953072775154
15,control,4,301,400,0.738775952247961
15,control,5,401,500,1.6950437835261254
15,control,6,501,600,1.329380842000246
15,control,7,601,700,1.572222356565835
15,control,8,701,800,1.3767134290937975
16,control,1,1,100,0.33191912331425555
16,control,2,101,200,0.8032698853485636
16,control,3,201,300,2.3400342108841867
16,control,4,301,400,4.015185290239751
16,control,5,401,500,4.0657671762340035
16,control,6,501,600,4.323410582067445
16,control,7,601,700,4.513734436052473
16,control,8,701,800,4.591616366821109
19,control,1,1,100,0.01489736481453292
19,control,2,101,200,-0.032753075783257375
19,control,3,201,300,-0.07491631113487529
19,control,4,301,400,0.03862263845745474
19,control,5,401,500,-0.017158485515974462
19,control,6,501,600,-0.03690577926521655
19,control,7,601,700,-0.027397105090203697
19,control,8,701,800,-0.013961546474602073
3,stimLick-,1,1,100,0.2709000990494678
3,stimLick-,2,101,200,0.7946969431010075
3,stimLick-,3,201,300,2.267547742421593
3,stimLick-,4,301,400,2.6807003043638544
3,stimLick-,5,401,500,3.9296765797084663
3,stimLick-,6,501,600,2.992616713210591
3,stimLick-,7,601,700,4.097292764291827
3,stimLick-,8,701,800,3.563042659559869
5,stimLick-,1,1,100,0.020812677484354936
5,stimLick-,2,101,200,0.03490006636362523
5,stimLick-,3,201,300,0.10978411776508437
5,stimLick-,4,301,400,0.5863795273454161
5,stimLick-,5,401,500,0.7043336415952581
5,stimLick-,6,501,600,0.6878413649851427
5,stimLick-,7,601,700,1.509594905670383
5,stimLick-,8,701,800,1.1951439628499794
10,stimLick-,1,1,100,0.03285503822957253
10,stimLick-,2,101,200,0.1540009316133728
10,stimLick-,3,201,300,-0.057707040719687935
10,stimLick-,4,301,400,0.6115051932819188
10,stimLick-,5,401,500,0.9191656899824738
10,stimLick-,6,501,600,1.2251056562946179
