method,block_id,regime,log_loss,top1_accuracy,trials
physical_headroom_v1,0,physical_aligned,0.9603870352337855,0.4375,48
physical_headroom_v1,1,physical_aligned,0.7433679381446789,0.875,48
physical_headroom_v1,2,physical_aligned,0.7900071290580791,0.8958333333333334,48
physical_headroom_v1,3,physical_aligned,0.8882275778717679,0.4791666666666667,48
physical_headroom_v1,4,early_delay,2.696625213778296,0.020833333333333332,48
physical_headroom_v1,5,early_delay,2.235003578946968,0.020833333333333332,48
physical_headroom_v1,6,early_delay,1.7353299020139399,0.020833333333333332,48
physical_headroom_v1,7,early_delay,1.4694156827705402,0.08333333333333333,48
physical_headroom_v1,8,recency,3.3291259556764814,0.0,48
physical_headroom_v1,9,recency,3.319473167182963,0.0,48
physical_headroom_v1,10,recency,3.333301727978386,0.0,48
physical_headroom_v1,11,recency,3.274318379091072,0.0,48
physical_headroom_v1,12,broad_delay,3.7488169241278193,0.0,48
physical_headroom_v1,13,broad_delay,1.9116107055113423,0.020833333333333332,48
physical_headroom_v1,14,broad_delay,1.009147785725159,0.375,48
physical_headroom_v1,15,broad_delay,1.2132180815682798,0.20833333333333334,48
linear_erlang_v1,0,physical_aligned,1.5421769902930516,0.5,48
linear_erlang_v1,1,physical_aligned,2.071856566550931,0.4375,48
linear_erlang_v1,2,physical_aligned,2.3891957550203116,0.25,48
linear_erlang_v1,3,physical_aligned,2.5480768080086236,0.041666666666666664,48
linear_erlang_v1,4,early_delay,0.6201663376938646,0.75,48
linear_erlang_v1,5,early_delay,0.36077178918847613,1.0,48
linear_erlang_v1,6,early_delay,0.45161856634020797,0.8541666666666666,48
linear_erlang_v1,7,early_delay,0.6000986247514066,0.8333333333333334,48
linear_erlang_v1,8,recency,2.3765080362200783,0.0,48
linear_erlang_v1,9,recency,2.5306902932802005,0.0,48
linear_erlang_v1,10,recency,2.5804709785824476,0.020833333333333332,48
linear_erlang_v1,11,recency,2.3699308091429425,0.125,48
linear_erlang_v1,12,broad_delay,1.2990455917776986,0.4166666666666667,48
linear_erlang_v1,13,broad_delay,0.5947269073281155,0.7083333333333334,48
linear_erlang_v1,14,broad_delay,1.7857360970262093,0.3333333333333333,48
linear_erlang_v1,15,broad_delay,2.450042883100251,0.041666666666666664,48
physical_decay_matched_exponential,0,physical_aligned,2.1146296095723955,0.0,48
physical_decay_matched_exponential,1,physical_aligned,2.4479570820323766,0.0,48
physical_decay_matched_exponential,2,physical_aligned,2.5660222666419217,0.0,48
physical_decay_matched_exponential,3,physical_aligned,2.8340862639711997,0.0,48
physical_decay_matched_exponential,4,early_delay,1.1399343014867647,0.0,48
physical_decay_matched_exponential,5,early_delay,1.3782119677052478,0.0,48
physical_decay_matched_exponential,6,early_delay,1.5850237785834225,0.0,48
physical_decay_matched_exponential,7,early_delay,1.7919330793268948,0.0,48
physical_decay_matched_exponential,8,recency,0.3398986416073277,1.0,48
physical_decay_matched_exponential,9,recency,0.3713718824673184,1.0,48
physical_decay_matched_exponential,10,recency,0.40522613473761404,1.0,48
physical_decay_matched_exponential,11,recency,0.4084357411313751,1.0,48
physical_decay_matched_exponential,12,broad_delay,0.4869003345674556,0.875,48
physical_decay_matched_exponential,13,broad_delay,0.8637253666714364,0.6041666666666666,48
physical_decay_matched_exponential,14,broad_delay,1.5794702181166613,0.2916666666666667,48
physical_decay_matched_exponential,15,broad_delay,2.377107627481295,0.041666666666666664,48
learned_signed_exponential_k3,0,physical_aligned,0.8234148756624343,0.5208333333333334,48
learned_signed_exponential_k3,1,physical_aligned,0.5171760459166651,0.9583333333333334,48
learned_signed_exponential_k3,2,physical_aligned,0.5861242972165973,0.8541666666666666,48
learned_signed_exponential_k3,3,physical_aligned,0.9536871259528571,0.4166666666666667,48
learned_signed_exponential_k3,4,early_delay,0.6215890823858535,0.7916666666666666,48
learned_signed_exponential_k3,5,early_delay,0.3350132672777489,0.9791666666666666,48
learned_signed_exponential_k3,6,early_delay,0.4694395103802964,0.8541666666666666,48
learned_signed_exponential_k3,7,early_delay,0.6694569108460063,0.8333333333333334,48
learned_signed_exponential_k3,8,recency,0.24364564002595426,1.0,48
learned_signed_exponential_k3,9,recency,0.26211659944160676,1.0,48
learned_signed_exponential_k3,10,recency,0.25537517790056685,1.0,48
learned_signed_exponential_k3,11,recency,0.29346134980780986,1.0,48
learned_signed_exponential_k3,12,broad_delay,0.8735007926109728,0.8125,48
learned_signed_exponential_k3,13,broad_delay,1.4451580841693275,0.625,48
learned_signed_exponential_k3,14,broad_delay,1.4837282707408324,0.3541666666666667,48
learned_signed_exponential_k3,15,broad_delay,1.4986179649959992,0.041666666666666664,48
