model_id,cascade_depth,voltage_v,tau_leak_s,retention_id,retention_source,tau_r_s,preferred_lag_s
physical_headroom_v1,2,0.8,0.8448946663770562,held_bias_q10,direct held-bias distribution,14.249669912632424,0.9500000000000001
physical_headroom_v1,2,0.8,1.1669372374932345,held_bias_q25,direct held-bias distribution,14.249669912632424,1.25
physical_headroom_v1,2,0.8,1.3896742156393977,held_bias_q50,direct held-bias distribution,14.249669912632424,1.5
physical_headroom_v1,2,0.8,1.6179662155669912,held_bias_q75,direct held-bias distribution,14.249669912632424,1.7000000000000002
physical_headroom_v1,2,0.8,4.312684718514085,near_zero_device_1,supplementary 1-mV read,14.249669912632424,4.4
physical_headroom_v1,2,0.8,9.1966164265996,near_zero_device_2,supplementary 1-mV read,14.249669912632424,9.25
physical_headroom_v1,2,0.8,10.0,synthetic_10s,declared synthetic operating point,14.249669912632424,10.05
physical_headroom_v1,2,0.9,0.8448946663770562,held_bias_q10,direct held-bias distribution,10.662508845643279,0.9500000000000001
physical_headroom_v1,2,0.9,1.1669372374932345,held_bias_q25,direct held-bias distribution,10.662508845643279,1.25
physical_headroom_v1,2,0.9,1.3896742156393977,held_bias_q50,direct held-bias distribution,10.662508845643279,1.5
physical_headroom_v1,2,0.9,1.6179662155669912,held_bias_q75,direct held-bias distribution,10.662508845643279,1.7000000000000002
physical_headroom_v1,2,0.9,4.312684718514085,near_zero_device_1,supplementary 1-mV read,10.662508845643279,4.4
physical_headroom_v1,2,0.9,9.1966164265996,near_zero_device_2,supplementary 1-mV read,10.662508845643279,9.200000000000001
physical_headroom_v1,2,0.9,10.0,synthetic_10s,declared synthetic operating point,10.662508845643279,10.0
physical_headroom_v1,2,1.1,0.8448946663770562,held_bias_q10,direct held-bias distribution,5.969921286164822,0.9500000000000001
physical_headroom_v1,2,1.1,1.1669372374932345,held_bias_q25,direct held-bias distribution,5.969921286164822,1.25
physical_headroom_v1,2,1.1,1.3896742156393977,held_bias_q50,direct held-bias distribution,5.969921286164822,1.5
physical_headroom_v1,2,1.1,1.6179662155669912,held_bias_q75,direct held-bias distribution,5.969921286164822,1.7000000000000002
physical_headroom_v1,2,1.1,4.312684718514085,near_zero_device_1,supplementary 1-mV read,5.969921286164822,4.3500000000000005
physical_headroom_v1,2,1.1,9.1966164265996,near_zero_device_2,supplementary 1-mV read,5.969921286164822,9.0
physical_headroom_v1,2,1.1,10.0,synthetic_10s,declared synthetic operating point,5.969921286164822,9.75
physical_headroom_v1,2,1.3,0.8448946663770562,held_bias_q10,direct held-bias distribution,3.3425491766477076,0.9500000000000001
physical_headroom_v1,2,1.3,1.1669372374932345,held_bias_q25,direct held-bias distribution,3.3425491766477076,1.25
physical_headroom_v1,2,1.3,1.3896742156393977,held_bias_q50,direct held-bias distribution,3.3425491766477076,1.4500000000000002
physical_headroom_v1,2,1.3,1.6179662155669912,held_bias_q75,direct held-bias distribution,3.3425491766477076,1.7000000000000002
physical_headroom_v1,2,1.3,4.312684718514085,near_zero_device_1,supplementary 1-mV read,3.3425491766477076,4.2
physical_headroom_v1,2,1.3,9.1966164265996,near_zero_device_2,supplementary 1-mV read,3.3425491766477076,8.450000000000001
physical_headroom_v1,2,1.3,10.0,synthetic_10s,declared synthetic operating point,3.3425491766477076,9.15
physical_headroom_v1,2,1.5,0.8448946663770562,held_bias_q10,direct held-bias distribution,1.8714878241695816,0.9
