mouse_id,session_id,asset_path,source_sha256,status,rejection_reason,n_behavior_trials,n_valid_behavior_trials,n_aligned_trials,n_rewarded,n_stochastic_omission,separation_mean,separation_ci_low,separation_ci_high,separation_auc,quality_pass
BSD011,p148,sub-BSD011/sub-BSD011_ses-p148.nwb,c726c3f5527e0815aaa4ce0bee85b8d3bcf85e9cc956a709d5fe0ca0b8cfeabc,substantive,,577,575,575,305,108,-0.001726694841715901,-0.006943637784843406,0.0035433849006601664,0.4700060716454159,False
BSD011,p149,sub-BSD011/sub-BSD011_ses-p149.nwb,b74e61799d73e7d0601915796b58164e80f40d8088eada4941add7079010eab1,substantive,,673,669,669,362,138,-0.02112879722864286,-0.042543653274756406,-0.0001267511964264733,0.44963567939787014,False
BSD011,p150,sub-BSD011/sub-BSD011_ses-p150.nwb,6a3d21584efd5f4d3a699932b5b4b5c8f9bfd7fc07613c2b6e2c15dd0b155ee4,substantive,,514,511,511,304,100,0.5104078303336703,0.4424597090453958,0.5787989864846315,0.8627631578947368,True
BSD011,p151,sub-BSD011/sub-BSD011_ses-p151.nwb,836b0e551cceb850f491b0028e1cccd3f1026c629379e25e7cb35a63dc918a9c,substantive,,468,467,467,260,100,0.4037414257267523,0.33964449095173105,0.4685834440565513,0.8513076923076923,True
BSD011,p152,sub-BSD011/sub-BSD011_ses-p152.nwb,d094bd582f95629b43691ab0f2d6dbd810ab2444fd7d7ca8913a047f5a54940d,substantive,,753,751,751,444,147,-0.10231896586620044,-0.2465075985550498,0.04709350565222849,0.46808543237114664,False
BSD011,p153,sub-BSD011/sub-BSD011_ses-p153.nwb,2b166aa2844b78367146f00f42a4f95e00472ddddf5ade5b73fbdee287fb19a0,substantive,,780,778,778,447,142,-0.05157305969556968,-0.20999525645406095,0.10420394846655384,0.4857421936540946,False
BSD011,p154,sub-BSD011/sub-BSD011_ses-p154.nwb,6e4f4219bc648081e98240f577abe3e9faa0e22766fd4fd2d0dcb53a230be1d8,substantive,,312,305,305,183,43,1.014447328800852,0.8121762906871995,1.2201637967010415,0.851569449739484,True
BSD011,p155,sub-BSD011/sub-BSD011_ses-p155.nwb,9aae18ca5983d262961aa5d01e429c95850fbd0899747033162dbeba25639a9a,substantive,,710,708,708,433,140,0.9855134334471483,0.8621133557041638,1.1073833284077021,0.850280435499835,True
BSD011,p156,sub-BSD011/sub-BSD011_ses-p156.nwb,38b3e84b04417cf5cee867d3fef932238873ca77b57b98d100a9731f04e20406,substantive,,913,911,911,531,178,1.179320372061856,1.07293687647649,1.2881127563918144,0.8912270678600901,True
BSD011,p157,sub-BSD011/sub-BSD011_ses-p157.nwb,18dd413415d10fcc335b8d2db51bc7b23521bcd0ea9d1712432e8523549459f0,substantive,,809,808,808,488,147,0.6328110109483029,0.5217077038230477,0.7482729403022901,0.7441451990632318,True
BSD011,p158,sub-BSD011/sub-BSD011_ses-p158.nwb,c7b5006579451ac271225036279513805694bbc16b49a7afda98a24bd2a1fa48,substantive,,1064,1061,1061,627,230,-0.06696136439149208,-0.1974094736680484,0.06930986315028016,0.468927258858609,False
BSD011,p159,sub-BSD011/sub-BSD011_ses-p159.nwb,6096a244cb175c1e8789d30c7255aaada65a53e3a507c151b35d223f6e830056,substantive,,847,843,843,542,137,-0.12687342214542652,-0.26108641766676016,0.005543121071331422,0.44916098796024456,False
BSD011,p160,sub-BSD011/sub-BSD011_ses-p160.nwb,8176549c4b372639948240113816cbf46a89890eb4dd67dffd20ead157c17a31,substantive,,446,442,442,277,79,0.0026474136166505283,-0.19665664726895968,0.202413830725602,0.5024448201800484,False
BSD011,p161,sub-BSD011/sub-BSD011_ses-p161.nwb,9777f7b02aebbe71abcb105eb9f28574e4e91b842c3e4290cae7f73f41e8c62b,substantive,,577,571,571,331,129,-0.17768395683205912,-0.3379858751080724,-0.01351421034069629,0.43364013208740254,False
BSD015,p104,sub-BSD015/sub-BSD015_ses-p104.nwb,89bd98defd1edde6cecc473e51c60882ea662f94bbabdf6985a275205d49489d,substantive,,1017,1013,1013,555,195,0.9186384649582042,0.8435492242023529,0.9947519498747301,0.9037560637560638,True
BSD015,p105,sub-BSD015/sub-BSD015_ses-p105.nwb,33c3b017b882aba3508288fa8befd4d23b210d747ab37c4c8af773e48ae653f2,substantive,,984,982,982,568,160,0.49286962430641,0.4501338366634889,0.536904992499569,0.905006602112676,True
BSD015,p106,sub-BSD015/sub-BSD015_ses-p106.nwb,58244185c1af01c2c19e94ef9632ff3a943b5ccf9ea927229b87912b89ca831e,behavior_only,one or both photometry channels are absent,1098,1093,0,0,0,nan,nan,nan,nan,False
BSD015,p107,sub-BSD015/sub-BSD015_ses-p107.nwb,042ad2f15fd407db54b3e5f99b815ed24198b6b66d37c903926845a652a6e13d,substantive,,983,981,981,582,173,1.1421361034475357,1.0798201489755341,1.2043431556755413,0.9706215362612478,True
BSD015,p108,sub-BSD015/sub-BSD015_ses-p108.nwb,2c8356aae1a5bfa34f5473d95816650f1b5aae15d2d21bdbcf1d09a3ffb87be6,substantive,,923,922,922,562,170,0.4443908950001172,0.4114955747052759,0.47781547367692223,0.933546158676994,True
BSD015,p109,sub-BSD015/sub-BSD015_ses-p109.nwb,56b1f024425b5cbd77cd4464829c89ef30407a6655f0b5038cb27ce6dd4f8897,behavior_only,one or both photometry channels are absent,929,929,0,0,0,nan,nan,nan,nan,False
BSD015,p110,sub-BSD015/sub-BSD015_ses-p110.nwb,75d249d84ca95b339ba0fc450a3e4e02e730c5fdc30c2a8e86b863bd6c00d68c,substantive,,1139,1137,1137,636,225,1.9756965811642435,1.869602329057856,2.0837148484722507,0.9609294199860238,True
BSD015,p111,sub-BSD015/sub-BSD015_ses-p111.nwb,1f3664a9181ec4079f28d9cfe4812e9349b7f524fc975324a175079cf196d6b7,substantive,,981,978,978,548,203,0.7237830419167213,0.6836712906286873,0.7647212384193671,0.9655531983747438,True
BSD015,p112,sub-BSD015/sub-BSD015_ses-p112.nwb,f1e6cc7284834cc7188bb46b5638f0c4618e3a05ae39373c8decd62cdd751042,behavior_only,one or both photometry channels are absent,803,801,0,0,0,nan,nan,nan,nan,False
BSD015,p113,sub-BSD015/sub-BSD015_ses-p113.nwb,fbecbf802ed5850f4d301541059f497bfd8d44e95739b096146ec21e3fd1e2fb,behavior_only,one or both photometry channels are absent,982,982,0,0,0,nan,nan,nan,nan,False
BSD015,p114,sub-BSD015/sub-BSD015_ses-p114.nwb,7c2127b5003e314c77428554d1a58d797965600e5170846aaad31d401644c1c5,behavior_only,one or both photometry channels are absent,837,834,0,0,0,nan,nan,nan,nan,False
BSD015,p115,sub-BSD015/sub-BSD015_ses-p115.nwb,bf29a0343982faffa86a28b921688ecd3d312230a96727827806dbb80de21eb9,behavior_only,one or both photometry channels are absent,545,542,0,0,0,nan,nan,nan,nan,False
BSD015,p116,sub-BSD015/sub-BSD015_ses-p116.nwb,75ea96bcc8e44d0ffddf3fad915021f7f46b87bc30d99400e7f5cd6cb641191b,substantive,,699,698,698,409,129,1.9902204567434585,1.8577527201475004,2.123848037114987,0.9597808987699248,True
BSD015,p117,sub-BSD015/sub-BSD015_ses-p117.nwb,23fe4414517550e4e58417f240d9d75af471f372ef69c7ad349606c409e8b562,substantive,,756,756,756,445,140,1.5415709504171349,1.4114109928931677,1.6695708735348662,0.9258426966292135,True
BSD016,p106,sub-BSD016/sub-BSD016_ses-p106.nwb,fa4d628876717cfb9c6de3d22e38c71f8a0c18dd4118e97fa6ef37b188f37de1,substantive,,757,757,757,440,155,0.6439788973722862,0.5906529094333108,0.6975273012414527,0.9143401759530791,True
BSD016,p107,sub-BSD016/sub-BSD016_ses-p107.nwb,bbd97aa247cb1bc757cd680a191d341379953fafe4c17b68a3697c3282c26e54,substantive,,916,915,915,530,186,1.2426482951088453,1.1658812310878424,1.3185634288273034,0.942381821870562,True
BSD016,p108,sub-BSD016/sub-BSD016_ses-p108.nwb,6f68ff51daeda089bd3042dc3f2010e4a1b7ecc72b1bab15d8be5a01b452086e,behavior_only,one or both photometry channels are absent,923,922,0,0,0,nan,nan,nan,nan,False
