condition,held_out_mouse,session_id,n_scored_trials,log_loss
previous_choice,BSD011,p148,574,0.5749710694614861
previous_choice,BSD011,p149,668,0.4776609867544669
previous_choice,BSD011,p150,510,0.4539255286524577
previous_choice,BSD011,p151,466,0.5342583237556824
previous_choice,BSD011,p152,750,0.5025170784589235
previous_choice,BSD011,p153,777,0.4778846592329322
previous_choice,BSD011,p154,304,0.5755659182572773
previous_choice,BSD011,p155,707,0.4326747590526185
previous_choice,BSD011,p156,910,0.5080921005753049
previous_choice,BSD011,p157,807,0.4410184408854002
previous_choice,BSD011,p158,1060,0.4819819086698184
previous_choice,BSD011,p159,842,0.45936410373223585
previous_choice,BSD011,p160,441,0.5000945713809306
previous_choice,BSD011,p161,570,0.4427112135962953
previous_choice,BSD015,p104,1012,0.5565390659201735
previous_choice,BSD015,p105,981,0.5238369044025353
previous_choice,BSD015,p107,980,0.5241136291524798
previous_choice,BSD015,p108,921,0.4853384960571337
previous_choice,BSD015,p110,1136,0.5290430230683573
previous_choice,BSD015,p111,977,0.4873107765165494
previous_choice,BSD015,p116,697,0.4859559326262649
previous_choice,BSD015,p117,755,0.5221412180649896
previous_choice,BSD016,p106,756,0.4188873282328422
previous_choice,BSD016,p107,914,0.39265005482198173
previous_choice,BSD016,p109,938,0.4631436283382049
previous_choice,BSD016,p110,984,0.4279032144629861
previous_choice,BSD016,p112,995,0.4220057381433693
previous_choice,BSD016,p113,975,0.4243165839946413
previous_choice,BSD017,p153,788,0.5130060327349459
previous_choice,BSD017,p154,743,0.5784373421664762
previous_choice,BSD017,p156,1009,0.6604139072106625
previous_choice,BSD017,p157,818,0.6176888956972281
previous_choice,BSD017,p159,850,0.6367910544172408
previous_choice,BSD017,p160,843,0.7128455620161755
previous_choice,BSD017,p162,957,0.6119150855536303
previous_choice,BSD017,p163,954,0.6098398073876717
previous_choice,BSD019,p139,591,0.67501940497905
previous_choice,BSD019,p140,1181,0.5662630663501584
previous_choice,BSD019,p142,994,0.5318917679206366
previous_choice,BSD019,p143,973,0.4459163966324363
previous_choice,BSD019,p145,979,0.4679198927617981
previous_choice,BSD019,p146,1075,0.4568445869897318
previous_choice,BSD019,p148,1069,0.46564316889149315
previous_choice,BSD019,p150,1031,0.4768605964731713
previous_choice,BSD019,p152,972,0.5138202084255523
previous_choice,BSD019,p153,740,0.431617293375245
plain_dlight,BSD011,p148,574,0.575152539108585
plain_dlight,BSD011,p149,668,0.4774007560286895
plain_dlight,BSD011,p150,510,0.4537761054623738
plain_dlight,BSD011,p151,466,0.5344140000089774
plain_dlight,BSD011,p152,750,0.5026392114931357
plain_dlight,BSD011,p153,777,0.47784655897108375
plain_dlight,BSD011,p154,304,0.575471180246045
plain_dlight,BSD011,p155,707,0.4327356396537443
plain_dlight,BSD011,p156,910,0.5077121940569322
plain_dlight,BSD011,p157,807,0.44050408896855076
