condition,seed,selected_eta,aulc,final_300_reward
device,2000,0.03,0.9956,1.0
device,2001,0.03,0.9952,1.0
device,2002,0.03,0.994,1.0
device,2003,0.03,0.99,1.0
device,2004,0.03,0.9992,1.0
device,2005,0.03,0.994,1.0
device,2006,0.03,0.9952,1.0
device,2007,0.03,0.9936,1.0
device,2008,0.03,0.9964,1.0
device,2009,0.03,0.998,1.0
device,2010,0.03,0.996,1.0
device,2011,0.03,0.9976,1.0
device,2012,0.03,0.992,1.0
device,2013,0.03,0.9984,1.0
device,2014,0.03,0.9992,1.0
device,2015,0.03,0.9976,1.0
device,2016,0.03,0.998,1.0
device,2017,0.03,0.9976,1.0
device,2018,0.03,0.9968,1.0
device,2019,0.03,0.9968,1.0
linear_device,2000,10.0,0.9984,1.0
linear_device,2001,10.0,0.9984,1.0
linear_device,2002,10.0,0.9928,1.0
linear_device,2003,10.0,0.9948,1.0
linear_device,2004,10.0,0.9992,1.0
linear_device,2005,10.0,0.996,1.0
linear_device,2006,10.0,0.9988,1.0
linear_device,2007,10.0,0.9968,1.0
linear_device,2008,10.0,0.9972,1.0
linear_device,2009,10.0,0.9968,1.0
linear_device,2010,10.0,0.9964,1.0
linear_device,2011,10.0,0.9988,1.0
linear_device,2012,10.0,0.9968,1.0
linear_device,2013,10.0,0.9964,1.0
linear_device,2014,10.0,0.9992,1.0
linear_device,2015,10.0,0.9988,1.0
linear_device,2016,10.0,0.9976,1.0
linear_device,2017,10.0,0.9984,1.0
linear_device,2018,10.0,0.9968,1.0
linear_device,2019,10.0,0.9964,1.0
abstract,2000,0.1,0.9972,1.0
abstract,2001,0.1,0.9984,1.0
abstract,2002,0.1,0.9912,1.0
abstract,2003,0.1,0.9948,1.0
abstract,2004,0.1,0.9992,1.0
abstract,2005,0.1,0.9956,1.0
abstract,2006,0.1,0.9956,1.0
abstract,2007,0.1,0.9956,1.0
abstract,2008,0.1,0.9984,1.0
abstract,2009,0.1,0.9936,1.0
abstract,2010,0.1,0.9972,1.0
abstract,2011,0.1,0.9988,1.0
abstract,2012,0.1,0.9952,1.0
abstract,2013,0.1,0.9976,1.0
abstract,2014,0.1,0.9992,1.0
abstract,2015,0.1,0.9988,1.0
abstract,2016,0.1,0.9976,1.0
abstract,2017,0.1,0.9984,1.0
abstract,2018,0.1,0.9956,1.0
abstract,2019,0.1,0.9964,1.0
no_trace,2000,0.0,0.4824,0.46
no_trace,2001,0.0,0.4968,0.5066666666666667
no_trace,2002,0.0,0.498,0.47
no_trace,2003,0.0,0.5008,0.48333333333333334
no_trace,2004,0.0,0.5052,0.49333333333333335
no_trace,2005,0.0,0.4872,0.52
no_trace,2006,0.0,0.4784,0.48333333333333334
no_trace,2007,0.0,0.5076,0.55
no_trace,2008,0.0,0.4944,0.43
no_trace,2009,0.0,0.494,0.5033333333333333
no_trace,2010,0.0,0.4844,0.44666666666666666
no_trace,2011,0.0,0.4908,0.48333333333333334
no_trace,2012,0.0,0.5012,0.5133333333333333
no_trace,2013,0.0,0.5024,0.47
no_trace,2014,0.0,0.4896,0.55
no_trace,2015,0.0,0.5228,0.5533333333333333
no_trace,2016,0.0,0.4996,0.49333333333333335
no_trace,2017,0.0,0.4908,0.47333333333333333
no_trace,2018,0.0,0.512,0.5566666666666666
no_trace,2019,0.0,0.4972,0.4533333333333333
