condition,seed,eta,aulc
device,1000,0.01,0.9532
device,1001,0.01,0.948
device,1002,0.01,0.9528
device,1003,0.01,0.956
device,1004,0.01,0.9728
device,1005,0.01,0.9912
device,1006,0.01,0.964
device,1007,0.01,0.9512
device,1008,0.01,0.9532
device,1009,0.01,0.972
device,1010,0.01,0.9604
device,1011,0.01,0.9496
device,1012,0.01,0.9592
device,1013,0.01,0.9548
device,1014,0.01,0.9572
device,1015,0.01,0.974
device,1016,0.01,0.962
device,1017,0.01,0.9456
device,1018,0.01,0.9504
device,1019,0.01,0.9904
device,1000,0.03,0.9948
device,1001,0.03,0.9976
device,1002,0.03,0.9976
device,1003,0.03,0.9976
device,1004,0.03,0.9992
device,1005,0.03,0.998
device,1006,0.03,0.9928
device,1007,0.03,0.9968
device,1008,0.03,0.9932
device,1009,0.03,0.9992
device,1010,0.03,0.9952
device,1011,0.03,0.9984
device,1012,0.03,0.998
device,1013,0.03,0.9976
device,1014,0.03,0.9988
device,1015,0.03,0.992
device,1016,0.03,0.9992
device,1017,0.03,0.9984
device,1018,0.03,0.9896
device,1019,0.03,0.9968
device,1000,0.1,0.6024
device,1001,0.1,0.5992
device,1002,0.1,0.5968
device,1003,0.1,0.744
device,1004,0.1,0.5976
device,1005,0.1,0.7556
device,1006,0.1,0.5976
device,1007,0.1,0.6016
device,1008,0.1,0.5928
device,1009,0.1,0.5976
device,1010,0.1,0.5948
device,1011,0.1,0.606
device,1012,0.1,0.6032
device,1013,0.1,0.5992
device,1014,0.1,0.5948
device,1015,0.1,0.5852
device,1016,0.1,0.6044
device,1017,0.1,0.6032
device,1018,0.1,0.6008
device,1019,0.1,0.5896
device,1000,0.3,0.5084
device,1001,0.3,0.5156
device,1002,0.3,0.5144
device,1003,0.3,0.49
device,1004,0.3,0.4908
device,1005,0.3,0.5044
device,1006,0.3,0.5052
device,1007,0.3,0.5092
device,1008,0.3,0.4996
device,1009,0.3,0.5052
device,1010,0.3,0.5064
device,1011,0.3,0.516
device,1012,0.3,0.4872
device,1013,0.3,0.4952
device,1014,0.3,0.5056
device,1015,0.3,0.4868
device,1016,0.3,0.5
device,1017,0.3,0.5052
device,1018,0.3,0.5024
device,1019,0.3,0.484
device,1000,1.0,0.496
device,1001,1.0,0.5084
device,1002,1.0,0.5032
device,1003,1.0,0.4716
device,1004,1.0,0.506
device,1005,1.0,0.756
device,1006,1.0,0.5028
device,1007,1.0,0.5092
device,1008,1.0,0.502
device,1009,1.0,0.5092
device,1010,1.0,0.5136
device,1011,1.0,0.504
device,1012,1.0,0.4864
device,1013,1.0,0.5024
device,1014,1.0,0.5072
device,1015,1.0,0.486
device,1016,1.0,0.5016
device,1017,1.0,0.5036
device,1018,1.0,0.4992
device,1019,1.0,0.488
device,1000,3.0,0.496
device,1001,3.0,0.5084
device,1002,3.0,0.5032
device,1003,3.0,0.4716
device,1004,3.0,0.506
device,1005,3.0,0.756
device,1006,3.0,0.5028
device,1007,3.0,0.5092
device,1008,3.0,0.502
device,1009,3.0,0.5092
device,1010,3.0,0.5056
device,1011,3.0,0.504
device,1012,3.0,0.4864
device,1013,3.0,0.4888
device,1014,3.0,0.5072
device,1015,3.0,0.4956
device,1016,3.0,0.5016
device,1017,3.0,0.5036
device,1018,3.0,0.4992
device,1019,3.0,0.488
device,1000,10.0,0.496
device,1001,10.0,0.5084
device,1002,10.0,0.5032
device,1003,10.0,0.4716
device,1004,10.0,0.506
device,1005,10.0,0.756
device,1006,10.0,0.5028
device,1007,10.0,0.5092
device,1008,10.0,0.502
device,1009,10.0,0.5092
device,1010,10.0,0.5056
device,1011,10.0,0.504
device,1012,10.0,0.4864
device,1013,10.0,0.4888
device,1014,10.0,0.5072
device,1015,10.0,0.4956
device,1016,10.0,0.5016
device,1017,10.0,0.5036
device,1018,10.0,0.4992
device,1019,10.0,0.488
device,1000,100.0,0.496
device,1001,100.0,0.5084
device,1002,100.0,0.5032
device,1003,100.0,0.4716
device,1004,100.0,0.506
device,1005,100.0,0.756
device,1006,100.0,0.5028
device,1007,100.0,0.5092
device,1008,100.0,0.502
device,1009,100.0,0.5092
device,1010,100.0,0.5056
device,1011,100.0,0.504
device,1012,100.0,0.4864
device,1013,100.0,0.4888
device,1014,100.0,0.5072
device,1015,100.0,0.4956
device,1016,100.0,0.5016
device,1017,100.0,0.5036
device,1018,100.0,0.4992
device,1019,100.0,0.488
linear_device,1000,0.01,0.636
linear_device,1001,0.01,0.634
linear_device,1002,0.01,0.6144
linear_device,1003,0.01,0.6376
linear_device,1004,0.01,0.6224
linear_device,1005,0.01,0.6456
linear_device,1006,0.01,0.6464
linear_device,1007,0.01,0.6396
linear_device,1008,0.01,0.6416
linear_device,1009,0.01,0.6408
linear_device,1010,0.01,0.6244
linear_device,1011,0.01,0.6376
linear_device,1012,0.01,0.6328
linear_device,1013,0.01,0.6224
linear_device,1014,0.01,0.6248
linear_device,1015,0.01,0.6192
linear_device,1016,0.01,0.6364
linear_device,1017,0.01,0.6252
linear_device,1018,0.01,0.6508
linear_device,1019,0.01,0.6396
linear_device,1000,0.03,0.7892
linear_device,1001,0.03,0.7896
linear_device,1002,0.03,0.784
linear_device,1003,0.03,0.7944
linear_device,1004,0.03,0.7836
linear_device,1005,0.03,0.7828
linear_device,1006,0.03,0.7868
linear_device,1007,0.03,0.784
linear_device,1008,0.03,0.7844
linear_device,1009,0.03,0.786
linear_device,1010,0.03,0.78
linear_device,1011,0.03,0.7936
linear_device,1012,0.03,0.7948
linear_device,1013,0.03,0.7932
linear_device,1014,0.03,0.7848
linear_device,1015,0.03,0.794
linear_device,1016,0.03,0.7768
linear_device,1017,0.03,0.78
linear_device,1018,0.03,0.7864
linear_device,1019,0.03,0.7764
linear_device,1000,0.1,0.914
linear_device,1001,0.1,0.9252
linear_device,1002,0.1,0.9224
linear_device,1003,0.1,0.918
linear_device,1004,0.1,0.9184
linear_device,1005,0.1,0.9188
linear_device,1006,0.1,0.9168
linear_device,1007,0.1,0.92
linear_device,1008,0.1,0.9152
linear_device,1009,0.1,0.9284
linear_device,1010,0.1,0.926
linear_device,1011,0.1,0.9176
linear_device,1012,0.1,0.9244
linear_device,1013,0.1,0.9224
linear_device,1014,0.1,0.9272
linear_device,1015,0.1,0.9216
linear_device,1016,0.1,0.918
linear_device,1017,0.1,0.9096
linear_device,1018,0.1,0.9252
linear_device,1019,0.1,0.9116
linear_device,1000,0.3,0.97
linear_device,1001,0.3,0.9776
linear_device,1002,0.3,0.9764
linear_device,1003,0.3,0.9748
linear_device,1004,0.3,0.972
linear_device,1005,0.3,0.9772
linear_device,1006,0.3,0.9732
linear_device,1007,0.3,0.9768
linear_device,1008,0.3,0.9784
linear_device,1009,0.3,0.9732
linear_device,1010,0.3,0.9772
linear_device,1011,0.3,0.9744
linear_device,1012,0.3,0.976
linear_device,1013,0.3,0.976
linear_device,1014,0.3,0.976
linear_device,1015,0.3,0.976
linear_device,1016,0.3,0.9708
linear_device,1017,0.3,0.9756
linear_device,1018,0.3,0.9732
linear_device,1019,0.3,0.9716
