subject,group,day,path,asset_id,n_trials,mean_anticipatory_licks
HJ-FP-WT-stGtACR-F1,control,2,sub-HJ-FP-WT-stGtACR-F1/sub-HJ-FP-WT-stGtACR-F1_ses-Day2-Pavlovian.nwb,7716bf92-62a7-41e8-b3e2-0babceaec240,50,1.56
HJ-FP-WT-stGtACR-F1,control,3,sub-HJ-FP-WT-stGtACR-F1/sub-HJ-FP-WT-stGtACR-F1_ses-Day3-Pavlovian.nwb,63df3430-87ae-429b-b531-e84a93fe0da1,50,7.32
HJ-FP-WT-stGtACR-F1,control,4,sub-HJ-FP-WT-stGtACR-F1/sub-HJ-FP-WT-stGtACR-F1_ses-Day4-Pavlovian.nwb,fff03f72-75a8-436e-864d-ab233883920f,50,11.04
HJ-FP-WT-stGtACR-F1,control,5,sub-HJ-FP-WT-stGtACR-F1/sub-HJ-FP-WT-stGtACR-F1_ses-Day5-Pavlovian.nwb,6b4772dc-7f21-4457-afe4-afb88ba47866,50,15.96
HJ-FP-WT-stGtACR-F1,control,6,sub-HJ-FP-WT-stGtACR-F1/sub-HJ-FP-WT-stGtACR-F1_ses-Day6-Pavlovian.nwb,c03f5110-35f2-45d3-ad36-4ba7a153d255,50,8.08
HJ-FP-WT-stGtACR-F2,control,2,sub-HJ-FP-WT-stGtACR-F2/sub-HJ-FP-WT-stGtACR-F2_ses-Day2-Pavlovian.nwb,6dfe5bdf-8c78-4d5f-bc2d-ca5483b596a5,50,0.28
HJ-FP-WT-stGtACR-F2,control,3,sub-HJ-FP-WT-stGtACR-F2/sub-HJ-FP-WT-stGtACR-F2_ses-Day3-Pavlovian.nwb,2f4b691e-4712-4c53-bf00-0e87d0ab68e7,50,0.44
HJ-FP-WT-stGtACR-F2,control,4,sub-HJ-FP-WT-stGtACR-F2/sub-HJ-FP-WT-stGtACR-F2_ses-Day4-Pavlovian.nwb,c7c7d83f-9247-4292-a4ce-508eabb5486d,50,1.62
HJ-FP-WT-stGtACR-F2,control,5,sub-HJ-FP-WT-stGtACR-F2/sub-HJ-FP-WT-stGtACR-F2_ses-Day5-Pavlovian.nwb,37dea902-894a-4e4c-88ee-55804848f2ba,50,7.36
HJ-FP-WT-stGtACR-F2,control,6,sub-HJ-FP-WT-stGtACR-F2/sub-HJ-FP-WT-stGtACR-F2_ses-Day6-Pavlovian.nwb,b0a22451-5025-4233-b630-19fa72f770e9,50,0.76
