cascade_depth,drive_amplitude,duration_s,linear_finite_pulse_peak_s,linear_impulse_peak_s,linear_numerical_peak_s,linear_peak_relative_error,physical_numerical_peak_s,physical_peak_occupancy_fraction,physical_peak_relative_departure,physical_small_signal_peak_s,rho_alpha_tau_leak,tau_leak_s,tau_r_s,v_max,v_max_shape_invariance,voltage_v
2,1.0,0.05,0.9696845969716276,0.9444640236121945,0.96,0.009987368059545415,1.02,0.0028784754897261343,0.020000000000000018,1.0,0.0588015795195699,1.0,34.01269177360066,0.5,True,0.5
2,1.0,0.05,0.9696845969716276,0.9444640236121945,0.96,0.009987368059545415,1.02,0.0028784754897261343,0.020000000000000018,1.0,0.0588015795195699,1.0,34.01269177360066,1.0,True,0.5
2,1.0,0.05,0.9696845969716276,0.9444640236121945,0.96,0.009987368059545415,1.02,0.0028784754897261343,0.020000000000000018,1.0,0.0588015795195699,1.0,34.01269177360066,2.0,True,0.5
2,1.0,0.3,1.102391713921262,0.9444640236121945,1.09,0.011240753867047844,1.1500000000000001,0.015181714826392209,0.15000000000000013,1.0,0.0588015795195699,1.0,34.01269177360066,0.5,True,0.5
2,1.0,0.3,1.102391713921262,0.9444640236121945,1.09,0.011240753867047844,1.1500000000000001,0.015181714826392209,0.15000000000000013,1.0,0.0588015795195699,1.0,34.01269177360066,1.0,True,0.5
2,1.0,0.3,1.102391713921262,0.9444640236121945,1.09,0.011240753867047844,1.1500000000000001,0.015181714826392209,0.15000000000000013,1.0,0.0588015795195699,1.0,34.01269177360066,2.0,True,0.5
3,1.0,0.05,1.8630067967912052,1.837893443775967,1.85,0.006981615318638483,2.02,0.004315175244783855,0.010000000000000009,2.0,0.08820236927935485,1.0,34.01269177360066,0.5,True,0.5
3,1.0,0.05,1.8630067967912052,1.837893443775967,1.85,0.006981615318638483,2.02,0.004315175244783855,0.010000000000000009,2.0,0.08820236927935485,1.0,34.01269177360066,1.0,True,0.5
3,1.0,0.05,1.8630067967912052,1.837893443775967,1.85,0.006981615318638483,2.02,0.004315175244783855,0.010000000000000009,2.0,0.08820236927935485,1.0,34.01269177360066,2.0,True,0.5
3,1.0,0.3,1.9919723916704697,1.837893443775967,1.98,0.006010320083015633,2.14,0.022680087876503725,0.07000000000000006,2.0,0.08820236927935485,1.0,34.01269177360066,0.5,True,0.5
3,1.0,0.3,1.9919723916704697,1.837893443775967,1.98,0.006010320083015633,2.14,0.022680087876503725,0.07000000000000006,2.0,0.08820236927935485,1.0,34.01269177360066,1.0,True,0.5
3,1.0,0.3,1.9919723916704697,1.837893443775967,1.98,0.006010320083015633,2.14,0.022680087876503725,0.07000000000000006,2.0,0.08820236927935485,1.0,34.01269177360066,2.0,True,0.5
4,1.0,0.05,2.709393573785047,2.684315962903373,2.7,0.0034670392208555685,3.02,0.005750185006734049,0.006666666666666672,3.0,0.1176031590391398,1.0,34.01269177360066,0.5,True,0.5
4,1.0,0.05,2.709393573785047,2.684315962903373,2.7,0.0034670392208555685,3.02,0.005750185006734049,0.006666666666666672,3.0,0.1176031590391398,1.0,34.01269177360066,1.0,True,0.5
4,1.0,0.05,2.709393573785047,2.684315962903373,2.7,0.0034670392208555685,3.02,0.005750185006734049,0.006666666666666672,3.0,0.1176031590391398,1.0,34.01269177360066,2.0,True,0.5
4,1.0,0.3,2.8371093893374337,2.684315962903373,2.83,0.0025058566173558625,3.14,0.03011746735655033,0.04666666666666671,3.0,0.1176031590391398,1.0,34.01269177360066,0.5,True,0.5
4,1.0,0.3,2.8371093893374337,2.684315962903373,2.83,0.0025058566173558625,3.14,0.03011746735655033,0.04666666666666671,3.0,0.1176031590391398,1.0,34.01269177360066,1.0,True,0.5
