condition,seed,selected_eta,aulc,final_reward,criterion_time,right_censored
device,2000,0.03,0.3333333333333333,0.39,301,True
device,2001,0.03,0.5633333333333334,0.61,301,True
device,2002,0.03,0.3933333333333333,0.45,301,True
device,2003,0.03,0.45,0.51,301,True
device,2004,0.03,0.5,0.53,301,True
device,2005,0.03,0.4166666666666667,0.46,301,True
device,2006,0.03,0.33,0.29,301,True
device,2007,0.03,0.44,0.51,301,True
device,2008,0.03,0.5733333333333334,0.61,301,True
device,2009,0.03,0.4166666666666667,0.51,301,True
device,2010,0.03,0.4,0.42,301,True
device,2011,0.03,0.5233333333333333,0.47,301,True
device,2012,0.03,0.3333333333333333,0.36,301,True
device,2013,0.03,0.44333333333333336,0.44,301,True
device,2014,0.03,0.3933333333333333,0.42,301,True
device,2015,0.03,0.5633333333333334,0.73,301,True
device,2016,0.03,0.49333333333333335,0.55,301,True
device,2017,0.03,0.45666666666666667,0.48,301,True
device,2018,0.03,0.41,0.57,301,True
device,2019,0.03,0.45666666666666667,0.48,301,True
linear_device,2000,0.03,0.9733333333333334,1.0,100,False
linear_device,2001,0.03,0.9333333333333333,1.0,100,False
linear_device,2002,0.03,0.9466666666666667,1.0,100,False
linear_device,2003,0.03,0.93,0.98,100,False
linear_device,2004,0.03,0.9133333333333333,0.92,100,False
linear_device,2005,0.03,0.96,1.0,100,False
linear_device,2006,0.03,0.9133333333333333,0.92,100,False
linear_device,2007,0.03,0.9533333333333334,1.0,100,False
linear_device,2008,0.03,0.9033333333333333,1.0,110,False
linear_device,2009,0.03,0.9566666666666667,1.0,100,False
linear_device,2010,0.03,0.95,1.0,100,False
linear_device,2011,0.03,0.96,1.0,100,False
linear_device,2012,0.03,0.9666666666666667,1.0,100,False
linear_device,2013,0.03,0.9066666666666666,1.0,108,False
linear_device,2014,0.03,0.8766666666666667,1.0,100,False
linear_device,2015,0.03,0.9433333333333334,1.0,100,False
linear_device,2016,0.03,0.93,1.0,101,False
linear_device,2017,0.03,0.9333333333333333,1.0,100,False
linear_device,2018,0.03,0.9733333333333334,1.0,100,False
linear_device,2019,0.03,0.9633333333333334,1.0,100,False
exponential,2000,0.03,0.71,0.95,253,False
exponential,2001,0.03,0.65,0.74,301,True
exponential,2002,0.03,0.7866666666666666,1.0,194,False
exponential,2003,0.03,0.7866666666666666,0.95,157,False
exponential,2004,0.03,0.78,0.99,159,False
exponential,2005,0.03,0.9533333333333334,1.0,100,False
exponential,2006,0.03,0.6766666666666666,1.0,214,False
exponential,2007,0.03,0.8566666666666667,1.0,124,False
exponential,2008,0.03,0.88,1.0,130,False
exponential,2009,0.03,0.72,0.94,231,False
exponential,2010,0.03,0.5866666666666667,0.63,217,False
exponential,2011,0.03,0.7333333333333333,0.93,220,False
exponential,2012,0.03,0.83,1.0,155,False
exponential,2013,0.03,0.84,1.0,139,False
exponential,2014,0.03,0.86,1.0,135,False
exponential,2015,0.03,0.8,1.0,157,False
exponential,2016,0.03,0.7866666666666666,0.98,128,False
exponential,2017,0.03,0.5566666666666666,0.63,301,True
exponential,2018,0.03,0.8233333333333334,1.0,169,False
exponential,2019,0.03,0.84,1.0,143,False
conventional_rstdp,2000,0.001,0.05333333333333334,0.04,301,True
conventional_rstdp,2001,0.001,0.07,0.06,301,True
conventional_rstdp,2002,0.001,0.04666666666666667,0.06,301,True
conventional_rstdp,2003,0.001,0.05333333333333334,0.11,301,True
conventional_rstdp,2004,0.001,0.06666666666666667,0.07,301,True
conventional_rstdp,2005,0.001,0.056666666666666664,0.03,301,True
