condition,seed,eta,aulc,final_reward
device,1000,0.0001,0.07666666666666666,0.04
device,1001,0.0001,0.06,0.06
device,1002,0.0001,0.043333333333333335,0.08
device,1003,0.0001,0.07,0.07
device,1004,0.0001,0.05333333333333334,0.09
device,1005,0.0001,0.06666666666666667,0.06
device,1006,0.0001,0.04666666666666667,0.07
device,1007,0.0001,0.06333333333333334,0.08
device,1008,0.0001,0.07333333333333333,0.09
device,1009,0.0001,0.07333333333333333,0.13
device,1010,0.0001,0.08333333333333333,0.07
device,1011,0.0001,0.06333333333333334,0.05
device,1012,0.0001,0.08,0.08
device,1013,0.0001,0.05333333333333334,0.05
device,1014,0.0001,0.08666666666666667,0.08
device,1015,0.0001,0.04666666666666667,0.05
device,1016,0.0001,0.06333333333333334,0.09
device,1017,0.0001,0.06333333333333334,0.07
device,1018,0.0001,0.06333333333333334,0.04
device,1019,0.0001,0.07333333333333333,0.09
device,1000,0.001,0.09666666666666666,0.18
device,1001,0.001,0.1,0.13
device,1002,0.001,0.09666666666666666,0.2
device,1003,0.001,0.12666666666666668,0.18
device,1004,0.001,0.10333333333333333,0.19
device,1005,0.001,0.09,0.11
device,1006,0.001,0.07333333333333333,0.13
device,1007,0.001,0.09,0.14
device,1008,0.001,0.09,0.09
device,1009,0.001,0.11333333333333333,0.08
device,1010,0.001,0.08,0.11
device,1011,0.001,0.10666666666666667,0.14
device,1012,0.001,0.07333333333333333,0.1
device,1013,0.001,0.14666666666666667,0.22
device,1014,0.001,0.08666666666666667,0.08
device,1015,0.001,0.07333333333333333,0.13
device,1016,0.001,0.12,0.14
device,1017,0.001,0.11333333333333333,0.16
device,1018,0.001,0.12666666666666668,0.22
device,1019,0.001,0.10333333333333333,0.1
device,1000,0.01,0.4166666666666667,0.42
device,1001,0.01,0.5133333333333333,0.56
device,1002,0.01,0.46,0.51
device,1003,0.01,0.4666666666666667,0.48
device,1004,0.01,0.48333333333333334,0.54
device,1005,0.01,0.25666666666666665,0.19
device,1006,0.01,0.42,0.53
