block_id,kernel,log_loss,matching,target_delay_s,task,top1_accuracy,trials,centre_s,separation_s
0,physical_headroom_v1,1.8621657105045997,same_drive_raw,2.5,four_event_interval_attribution,0.0,64,,
1,physical_headroom_v1,1.451295132802974,same_drive_raw,7.5,four_event_interval_attribution,0.078125,64,,
2,physical_headroom_v1,1.180421743261996,same_drive_raw,12.5,four_event_interval_attribution,0.375,64,,
3,physical_headroom_v1,1.0564351357910815,same_drive_raw,17.5,four_event_interval_attribution,0.921875,64,,
4,physical_headroom_v1,1.0378789900605787,same_drive_raw,22.5,four_event_interval_attribution,0.890625,64,,
5,physical_headroom_v1,1.1348377420953946,same_drive_raw,27.5,four_event_interval_attribution,0.59375,64,,
6,physical_headroom_v1,1.3315723801136787,same_drive_raw,35.0,four_event_interval_attribution,0.1875,64,,
7,physical_headroom_v1,1.5742676745732673,same_drive_raw,45.0,four_event_interval_attribution,0.046875,64,,
0,physical_headroom_v1,0.6630175279214848,same_drive_raw,,two_cue_temporal_order,0.46875,64,10.0,2.0
1,physical_headroom_v1,0.602711639916047,same_drive_raw,,two_cue_temporal_order,1.0,64,10.0,6.0
2,physical_headroom_v1,0.5403944685099367,same_drive_raw,,two_cue_temporal_order,1.0,64,10.0,10.0
3,physical_headroom_v1,0.7034786362739484,same_drive_raw,,two_cue_temporal_order,0.4375,64,20.0,2.0
4,physical_headroom_v1,0.6874276072190899,same_drive_raw,,two_cue_temporal_order,0.59375,64,20.0,6.0
5,physical_headroom_v1,0.6968223371046064,same_drive_raw,,two_cue_temporal_order,0.5,64,20.0,10.0
6,physical_headroom_v1,0.7270707698244434,same_drive_raw,,two_cue_temporal_order,0.34375,64,30.0,2.0
7,physical_headroom_v1,0.7510347493772647,same_drive_raw,,two_cue_temporal_order,0.390625,64,30.0,6.0
8,physical_headroom_v1,0.7561275943530502,same_drive_raw,,two_cue_temporal_order,0.0,64,30.0,10.0
9,physical_headroom_v1,0.7034415466417709,same_drive_raw,,two_cue_temporal_order,0.546875,64,40.0,2.0
10,physical_headroom_v1,0.742933709259143,same_drive_raw,,two_cue_temporal_order,0.453125,64,40.0,6.0
11,physical_headroom_v1,0.7700684939210765,same_drive_raw,,two_cue_temporal_order,0.0,64,40.0,10.0
0,linear_erlang_v1,1.1691872113264643,same_drive_raw,2.5,four_event_interval_attribution,0.65625,64,,
1,linear_erlang_v1,1.019393261038104,same_drive_raw,7.5,four_event_interval_attribution,0.890625,64,,
2,linear_erlang_v1,1.288640569673881,same_drive_raw,12.5,four_event_interval_attribution,0.578125,64,,
3,linear_erlang_v1,1.4483835993201497,same_drive_raw,17.5,four_event_interval_attribution,0.34375,64,,
4,linear_erlang_v1,1.4762273597310132,same_drive_raw,22.5,four_event_interval_attribution,0.359375,64,,
5,linear_erlang_v1,1.4897086818219953,same_drive_raw,27.5,four_event_interval_attribution,0.140625,64,,
6,linear_erlang_v1,1.4905568808064185,same_drive_raw,35.0,four_event_interval_attribution,0.046875,64,,
7,linear_erlang_v1,1.4850392659329632,same_drive_raw,45.0,four_event_interval_attribution,0.0,64,,
0,linear_erlang_v1,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,10.0,2.0
1,linear_erlang_v1,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,10.0,6.0
2,linear_erlang_v1,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,10.0,10.0
3,linear_erlang_v1,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,20.0,2.0
4,linear_erlang_v1,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,20.0,6.0
5,linear_erlang_v1,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,20.0,10.0
6,linear_erlang_v1,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,30.0,2.0
7,linear_erlang_v1,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,30.0,6.0
8,linear_erlang_v1,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,30.0,10.0
9,linear_erlang_v1,1.1102800699266648e-09,same_drive_raw,,two_cue_temporal_order,1.0,64,40.0,2.0
10,linear_erlang_v1,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,40.0,6.0
11,linear_erlang_v1,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,40.0,10.0
0,abstract_gamma_k3,1.1699052540842882,same_drive_raw,2.5,four_event_interval_attribution,0.65625,64,,
1,abstract_gamma_k3,1.0186910132158873,same_drive_raw,7.5,four_event_interval_attribution,0.890625,64,,
2,abstract_gamma_k3,1.28772249527568,same_drive_raw,12.5,four_event_interval_attribution,0.578125,64,,
3,abstract_gamma_k3,1.4481092947149836,same_drive_raw,17.5,four_event_interval_attribution,0.34375,64,,
4,abstract_gamma_k3,1.4762466575998656,same_drive_raw,22.5,four_event_interval_attribution,0.359375,64,,
5,abstract_gamma_k3,1.4898814234863131,same_drive_raw,27.5,four_event_interval_attribution,0.140625,64,,
6,abstract_gamma_k3,1.490815165774525,same_drive_raw,35.0,four_event_interval_attribution,0.046875,64,,
7,abstract_gamma_k3,1.4852947524589126,same_drive_raw,45.0,four_event_interval_attribution,0.0,64,,
0,abstract_gamma_k3,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,10.0,2.0
1,abstract_gamma_k3,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,10.0,6.0
2,abstract_gamma_k3,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,10.0,10.0
3,abstract_gamma_k3,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,20.0,2.0
4,abstract_gamma_k3,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,20.0,6.0
5,abstract_gamma_k3,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,20.0,10.0
6,abstract_gamma_k3,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,30.0,2.0
7,abstract_gamma_k3,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,30.0,6.0
8,abstract_gamma_k3,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,30.0,10.0
